s.no,status,txn_description,balance,extraction date,extraction time,gender,age,amount,movement,customer_long,customer_lat
26,posted,INTER BANK,4474.38,01-08-2018,09:00:00,F,39,25,debit,151,-33.8
27,posted,PAYMENT,586.2,01-08-2018,09:00:00,M,31,36,debit,150.9,-33.77
28,authorized,SALES-POS,1636.91,01-08-2018,09:02:54,F,19,17.96,debit,150.8,-34.01
29,authorized,SALES-POS,11525.54,01-08-2018,09:06:57,M,24,14.49,debit,152.9,-27.49
30,authorized,SALES-POS,1625.34,01-08-2018,09:11:00,F,19,11.57,debit,150.8,-34.01
31,authorized,POS,2072.1,01-08-2018,09:15:03,F,40,45.12,debit,153.1,-27.66
32,authorized,POS,12529.59,01-08-2018,09:19:06,F,34,33.89,debit,138.5,-35.01
33,authorized,SALES-POS,698.61,01-08-2018,09:23:09,F,24,9.67,debit,145.4,-37.74
34,authorized,POS,2086.31,01-08-2018,09:27:12,M,25,4.38,debit,145.7,-17.03
35,authorized,POS,1689.89,01-08-2018,09:39:21,F,21,28.49,debit,114.6,-28.8
36,authorized,POS,1675.46,01-08-2018,09:43:24,F,21,14.43,debit,114.6,-28.8
37,authorized,SALES-POS,11438.51,01-08-2018,09:47:26,M,24,87.03,debit,152.9,-27.49
38,authorized,POS,38.42,01-08-2018,09:51:29,F,18,36.28,debit,153,-27.48
39,authorized,POS,1089.59,01-08-2018,09:55:32,F,20,15.91,debit,115.7,-31.79
40,authorized,POS,49756.21,01-08-2018,09:59:35,M,78,25.7,debit,145,-37.82
41,posted,PAYMENT,2040.1,01-08-2018,10:00:00,F,40,32,debit,153.1,-27.66
42,posted,INTER BANK,137.14,01-08-2018,10:00:00,F,20,39,debit,150.6,-33.79
43,posted,PAYMENT,292.77,01-08-2018,10:00:00,M,22,34,debit,145,-37.88
44,posted,PAYMENT,28.04,01-08-2018,10:00:00,M,27,29,debit,144.7,-37.58
45,posted,PAYMENT,754.2,01-08-2018,10:00:00,M,42,150,debit,150.9,-33.78
46,posted,PAYMENT,763.64,01-08-2018,10:00:00,M,21,30,debit,147,-37.97
47,authorized,SALES-POS,301.65,01-08-2018,10:12:51,M,38,20.43,debit,138.6,-34.86
48,authorized,SALES-POS,1290.08,01-08-2018,10:27:08,M,22,31.62,debit,255,-573
49,authorized,SALES-POS,18784.07,01-08-2018,10:41:25,F,38,16.13,debit,144.8,-37.81
50,authorized,POS,29645.42,01-08-2018,10:55:42,F,43,937.73,debit,145.3,-38.03
51,posted,PAY/SALARY,8342.11,01-08-2018,11:00:00,M,23,3903.95,credit,151.2,-33.76
52,posted,PAYMENT,1195.08,01-08-2018,11:00:00,M,22,95,debit,255,-573
53,authorized,POS,454.94,01-08-2018,11:04:45,M,40,11.64,debit,151.2,-33.96
54,authorized,POS,27.86,01-08-2018,11:11:33,F,43,28,debit,142.7,-37.06
55,authorized,POS,689.22,01-08-2018,11:18:22,M,42,64.98,debit,150.9,-33.78
56,authorized,SALES-POS,440.66,01-08-2018,11:25:10,M,40,14.28,debit,151.2,-33.96
57,authorized,SALES-POS,29143.75,01-08-2018,11:31:58,F,43,501.67,debit,145.3,-38.03
58,authorized,POS,58154.74,01-08-2018,11:38:46,M,33,17.97,debit,145.1,-37.7
59,authorized,POS,589.1,01-08-2018,11:45:34,F,24,109.51,debit,145.4,-37.74
60,authorized,POS,2058.92,01-08-2018,11:52:22,M,25,27.39,debit,145.7,-17.03
61,authorized,POS,1109.58,01-08-2018,11:59:11,M,24,27.39,debit,145,-37.83
62,posted,PAY/SALARY,2040.58,01-08-2018,12:00:00,F,23,1626.48,credit,145,-37.93
63,posted,PAYMENT,3071.94,01-08-2018,12:00:00,F,26,46,debit,149,-34.97
64,posted,INTER BANK,150.08,01-08-2018,12:00:00,F,27,57,debit,116,-32
65,posted,PAY/SALARY,3158.51,01-08-2018,12:00:00,M,22,983.36,credit,151.1,-33.8
66,posted,PAYMENT,186371.86,01-08-2018,12:00:00,F,40,170,debit,143.8,-37.66
67,authorized,POS,4172.16,01-08-2018,12:15:26,M,19,3.28,debit,115.9,-32.07
68,authorized,POS,30163.44,01-08-2018,12:50:31,M,28,33.45,debit,151.1,-33.89
69,posted,PAY/SALARY,2517.66,01-08-2018,13:00:00,M,24,1408.08,credit,145,-37.83
70,posted,INTER BANK,2032.92,01-08-2018,13:00:00,M,25,26,debit,145.7,-17.03
71,posted,PAY/SALARY,2271.79,01-08-2018,13:00:00,F,43,1068.04,credit,144.9,-37.76
72,authorized,POS,29128.11,01-08-2018,13:45:33,F,43,15.64,debit,145.3,-38.03
73,posted,PAY/SALARY,1017.52,01-08-2018,14:00:00,F,26,1013.67,credit,153.4,-27.95
74,authorized,POS,119.88,01-08-2018,14:01:55,F,20,17.26,debit,150.6,-33.79
75,authorized,SALES-POS,538.85,01-08-2018,14:10:42,F,24,50.25,debit,145.4,-37.74
76,authorized,POS,486.68,01-08-2018,14:19:28,F,34,22.25,debit,130.9,-12.37
77,authorized,SALES-POS,2029.05,01-08-2018,14:28:14,F,40,11.05,debit,153.1,-27.66
78,authorized,POS,1609.16,01-08-2018,14:37:01,F,19,16.18,debit,150.8,-34.01
79,authorized,SALES-POS,429.2,01-08-2018,14:45:47,M,40,11.46,debit,151.2,-33.96
80,posted,PAYMENT,86.91,01-08-2018,15:00:00,F,18,36,debit,138.6,-34.89
81,posted,PAYMENT,28453.87,01-08-2018,15:00:00,M,38,35,debit,151.2,-33.9
82,authorized,POS,86.3,01-08-2018,15:02:21,F,30,5.29,debit,145,-37.85
83,authorized,SALES-POS,1602.58,01-08-2018,15:08:34,F,19,6.58,debit,150.8,-34.01
84,authorized,SALES-POS,713.56,01-08-2018,15:27:12,M,26,16.03,debit,115.7,-31.9
85,authorized,POS,143.4,01-08-2018,15:33:24,F,21,32.41,debit,130.8,-12.45
86,authorized,SALES-POS,750.75,01-08-2018,15:39:37,M,21,12.89,debit,147,-37.97
87,authorized,POS,697.46,01-08-2018,15:45:50,M,26,16.1,debit,115.7,-31.9
88,authorized,SALES-POS,39595.08,01-08-2018,15:52:02,M,22,39.92,debit,145,-37.91
89,authorized,POS,1082.64,01-08-2018,15:58:15,M,44,8.1,debit,144.7,-37.73
90,posted,PAYMENT,2335.35,01-08-2018,16:00:00,M,21,55,debit,115.8,-31.82
91,posted,PAY/SALARY,16433.32,01-08-2018,16:00:00,F,34,3903.73,credit,138.5,-35.01
92,posted,PAYMENT,8.06,01-08-2018,16:00:00,F,20,35,debit,150.6,-33.79
93,posted,PAY/SALARY,1796.37,01-08-2018,16:00:00,M,26,1098.91,credit,115.7,-31.9
94,posted,PAY/SALARY,50383.16,01-08-2018,16:00:00,M,38,2647.38,credit,130.9,-12.49
95,authorized,POS,1691.91,01-08-2018,16:12:00,M,20,13.52,debit,151.2,-33.87
96,authorized,POS,43.06,01-08-2018,16:28:40,F,20,76.82,debit,150.6,-33.79
97,authorized,POS,186344.95,01-08-2018,16:45:20,F,40,26.91,debit,143.8,-37.66
98,posted,PAY/SALARY,1244.45,01-08-2018,17:00:00,F,30,1158.15,credit,145,-37.85
99,posted,PAY/SALARY,1969.05,01-08-2018,17:00:00,M,69,1043.12,credit,144.9,-37.76
100,posted,PAYMENT,1162.08,01-08-2018,17:00:00,M,22,33,debit,255,-573
101,posted,PAY/SALARY,1403.55,01-08-2018,17:00:00,F,20,1395.49,credit,150.6,-33.79
102,posted,PAY/SALARY,7094.77,01-08-2018,17:00:00,M,39,3071.14,credit,145.1,-37.84
103,posted,PAYMENT,3021.94,01-08-2018,17:00:00,F,26,50,debit,149,-34.97
104,posted,PAYMENT,300.09,01-08-2018,17:00:00,F,34,168,debit,130.9,-12.37
105,authorized,POS,6941.78,01-08-2018,17:01:07,M,28,22.59,debit,147.6,-22.84
106,authorized,SALES-POS,1067.36,01-08-2018,17:10:33,M,44,15.28,debit,144.7,-37.73
107,authorized,SALES-POS,189.55,01-08-2018,17:20:00,F,18,5.62,debit,150.7,-33.64
108,authorized,SALES-POS,492.41,01-08-2018,17:38:52,M,31,93.79,debit,150.9,-33.77
109,authorized,SALES-POS,2025.72,01-08-2018,17:48:18,F,23,14.86,debit,145,-37.93
110,authorized,SALES-POS,468.09,01-08-2018,17:57:44,F,34,18.59,debit,130.9,-12.37
111,posted,PAYMENT,860.46,01-08-2018,18:00:00,F,24,46,debit,116,-31.88
112,authorized,POS,1006.85,01-08-2018,18:19:29,F,26,10.67,debit,153.4,-27.95
113,authorized,SALES-POS,6022.68,01-08-2018,18:45:07,M,35,19.58,debit,151.6,-32.98
114,posted,PAYMENT,7046.77,01-08-2018,19:00:00,M,39,48,debit,145.1,-37.84
115,authorized,SALES-POS,27984.9,01-08-2018,19:04:09,M,21,26.75,debit,146.9,-36.07
116,authorized,POS,823.53,01-08-2018,19:14:03,M,28,9.21,debit,144.9,-37.42
117,authorized,POS,16421.78,01-08-2018,19:23:57,F,34,11.54,debit,138.5,-35.01
118,authorized,SALES-POS,995.57,01-08-2018,19:33:51,F,26,11.28,debit,153.4,-27.95
119,authorized,SALES-POS,27953.53,01-08-2018,19:43:45,M,21,31.37,debit,146.9,-36.07
120,authorized,POS,445.04,01-08-2018,19:53:39,M,37,23.86,debit,149.1,-21.15
121,posted,PAYMENT,4331.5,01-08-2018,20:00:00,M,19,17,debit,146.9,-36.04
122,posted,PAYMENT,1992.72,01-08-2018,20:00:00,F,23,33,debit,145,-37.93
123,posted,INTER BANK,117.08,01-08-2018,20:00:00,F,27,33,debit,116,-32
124,posted,PHONE BANK,35322.36,01-08-2018,20:00:00,M,42,36,debit,144.9,-37.84
125,authorized,SALES-POS,1963.94,01-08-2018,20:09:28,F,40,65.11,debit,153.1,-27.66
126,authorized,SALES-POS,6924.65,01-08-2018,20:35:47,M,28,17.13,debit,147.6,-22.84
127,posted,INTER BANK,1679.94,01-08-2018,21:00:00,F,41,43,debit,144.9,-37.79
128,authorized,SALES-POS,34.97,01-08-2018,21:01:28,F,27,7.29,debit,147.6,-37.82
129,authorized,POS,614.93,01-08-2018,21:19:59,M,20,27.82,debit,145,-37.92
130,authorized,POS,986.58,01-08-2018,21:38:31,F,26,8.99,debit,153.4,-27.95
131,authorized,POS,279.86,01-08-2018,21:57:02,M,38,21.79,debit,138.6,-34.86
132,posted,PAYMENT,1569.58,01-08-2018,22:00:00,F,19,33,debit,150.8,-34.01
133,authorized,POS,976.26,01-08-2018,22:25:27,F,26,10.32,debit,153.4,-27.95
134,authorized,POS,94.45,01-08-2018,22:55:45,M,23,19.04,debit,150.9,-34.37
135,posted,PAYMENT,1884.41,01-08-2018,23:00:00,M,44,157,debit,145.1,-37.9
136,posted,PAYMENT,1767.37,01-08-2018,23:00:00,M,26,29,debit,115.7,-31.9
137,posted,PAYMENT,7014.77,01-08-2018,23:00:00,M,39,32,debit,145.1,-37.84
138,authorized,SALES-POS,27923.06,02-08-2018,00:05:27,M,21,30.47,debit,146.9,-36.07
139,authorized,SALES-POS,1074.43,02-08-2018,00:50:54,F,20,15.16,debit,115.7,-31.79
140,authorized,POS,163.59,02-08-2018,01:15:05,M,43,10.07,debit,145.1,-37.84
141,authorized,SALES-POS,8306.12,02-08-2018,01:52:49,M,23,35.99,debit,151.2,-33.76
142,posted,INTER BANK,147.59,02-08-2018,02:00:00,M,43,16,debit,145.1,-37.84
143,authorized,SALES-POS,128.21,02-08-2018,02:16:45,M,18,32.06,debit,153.4,-28.01
144,authorized,SALES-POS,58111.04,02-08-2018,02:43:47,M,33,43.7,debit,145.1,-37.7
145,posted,PAYMENT,54980.99,02-08-2018,03:00:00,M,40,47,debit,115.8,-31.9
146,posted,PAYMENT,223.93,02-08-2018,03:00:00,M,37,52,debit,153.3,-27.93
147,authorized,SALES-POS,128.76,02-08-2018,03:57:08,F,30,36.07,debit,149.8,-29.47
148,posted,PAYMENT,6630.82,02-08-2018,04:00:00,M,20,39,debit,138.5,-35.27
149,posted,PAYMENT,1657.94,02-08-2018,04:00:00,F,41,22,debit,144.9,-37.79
150,authorized,SALES-POS,1066.35,02-08-2018,04:26:29,F,20,8.08,debit,115.7,-31.79
151,authorized,SALES-POS,15.93,02-08-2018,04:53:30,F,18,22.49,debit,153,-27.48
152,posted,PAYMENT,4298.5,02-08-2018,05:00:00,M,19,33,debit,146.9,-36.04
153,posted,PAYMENT,205.93,02-08-2018,05:00:00,M,37,18,debit,153.3,-27.93
154,posted,PAYMENT,213.37,02-08-2018,06:00:00,F,25,46,debit,115.7,-31.72
155,posted,PAYMENT,3117.58,02-08-2018,06:00:00,F,30,47,debit,138.6,-34.93
156,authorized,POS,35305.32,02-08-2018,06:28:34,M,42,17.04,debit,144.9,-37.84
157,posted,PAYMENT,1580.32,02-08-2018,07:00:00,F,35,33,debit,144.9,-37.84
158,posted,INTER BANK,1146.46,02-08-2018,07:00:00,F,19,22,debit,144.6,-37.91
159,posted,INTER BANK,2074.79,02-08-2018,07:00:00,F,43,197,debit,144.9,-37.76
160,authorized,POS,50671.14,02-08-2018,07:20:44,M,19,1692.56,debit,115.9,-31.92
161,authorized,POS,1917.11,02-08-2018,07:57:46,F,40,46.83,debit,153.1,-27.66
162,posted,PAYMENT,2031.79,02-08-2018,08:00:00,F,43,43,debit,144.9,-37.76
163,posted,PAYMENT,38.55,02-08-2018,08:00:00,F,18,151,debit,150.7,-33.64
164,authorized,POS,463.96,02-08-2018,08:08:02,F,53,6.48,debit,153,-27.51
165,authorized,POS,186236.3,02-08-2018,08:16:34,F,40,108.65,debit,143.8,-37.66
166,authorized,POS,17.44,02-08-2018,08:25:07,F,47,20.87,debit,115.7,-32.28
167,authorized,SALES-POS,2293.86,02-08-2018,08:33:40,M,21,41.49,debit,115.8,-31.82
168,authorized,SALES-POS,968.15,02-08-2018,08:42:13,F,26,8.11,debit,153.4,-27.95
169,authorized,POS,847.49,02-08-2018,08:50:46,F,24,12.97,debit,116,-31.88
170,authorized,SALES-POS,4428.26,02-08-2018,08:59:18,F,39,46.12,debit,151,-33.8
171,posted,PAYMENT,16394.78,02-08-2018,09:00:00,F,34,27,debit,138.5,-35.01
172,posted,INTER BANK,104.4,02-08-2018,09:00:00,F,21,39,debit,130.8,-12.45
173,authorized,POS,842.07,02-08-2018,09:03:53,F,19,25.7,debit,145.1,-37.76
174,authorized,SALES-POS,2986.34,02-08-2018,09:08:08,F,26,35.6,debit,149,-34.97
175,authorized,POS,1872.72,02-08-2018,09:12:22,F,40,44.39,debit,153.1,-27.66
176,authorized,POS,1845.04,02-08-2018,09:16:36,F,40,27.68,debit,153.1,-27.66
177,authorized,POS,1826.34,02-08-2018,09:25:05,F,40,18.7,debit,153.1,-27.66
178,authorized,SALES-POS,1816.34,02-08-2018,09:29:19,F,40,10,debit,153.1,-27.66
179,authorized,SALES-POS,50657.65,02-08-2018,09:33:33,M,19,13.49,debit,115.9,-31.92
180,authorized,SALES-POS,344.8,02-08-2018,09:37:47,F,21,20.26,debit,145,-37.95
181,authorized,POS,956.92,02-08-2018,09:46:16,F,26,11.23,debit,153.4,-27.95
182,authorized,POS,1035.55,02-08-2018,09:50:30,M,44,31.81,debit,144.7,-37.73
183,authorized,SALES-POS,949.22,02-08-2018,09:54:44,F,26,7.7,debit,153.4,-27.95
184,authorized,SALES-POS,2285.02,02-08-2018,09:58:58,M,21,8.84,debit,115.8,-31.82
185,authorized,POS,49743.84,02-08-2018,10:12:40,M,78,12.37,debit,145,-37.82
186,authorized,SALES-POS,159.66,02-08-2018,10:29:20,F,64,31.5,debit,147.3,-42.88
187,authorized,SALES-POS,521.73,02-08-2018,10:46:00,F,24,17.12,debit,145.4,-37.74
188,posted,PAYMENT,2476.66,02-08-2018,11:00:00,M,24,41,debit,145,-37.83
189,posted,PAY/SALARY,3907.05,02-08-2018,11:00:00,F,26,920.71,credit,149,-34.97
190,posted,INTER BANK,1667.91,02-08-2018,11:00:00,M,20,24,debit,151.2,-33.87
191,authorized,POS,16373.36,02-08-2018,11:00:54,F,34,21.42,debit,138.5,-35.01
192,authorized,POS,941.23,02-08-2018,11:06:35,F,26,7.99,debit,153.4,-27.95
193,authorized,SALES-POS,931.76,02-08-2018,11:12:16,F,26,9.47,debit,153.4,-27.95
194,authorized,POS,107.79,02-08-2018,11:29:19,M,18,20.42,debit,153.4,-28.01
195,authorized,POS,96.25,02-08-2018,11:35:00,F,21,8.15,debit,130.8,-12.45
196,authorized,POS,1742.72,02-08-2018,11:40:40,M,26,24.65,debit,115.7,-31.9
197,authorized,POS,3047.08,02-08-2018,11:46:21,F,30,70.5,debit,138.6,-34.93
198,authorized,SALES-POS,4.41,02-08-2018,11:52:02,F,43,23.45,debit,142.7,-37.06
199,authorized,POS,35254.08,02-08-2018,11:57:43,M,42,51.24,debit,144.9,-37.84
200,posted,PAY/SALARY,50526.26,02-08-2018,12:00:00,M,78,782.42,credit,145,-37.82
201,posted,PHONE BANK,186195.3,02-08-2018,12:00:00,F,40,41,debit,143.8,-37.66
202,posted,PAYMENT,715.75,02-08-2018,12:00:00,M,21,35,debit,147,-37.97
203,authorized,POS,3008.22,02-08-2018,12:10:00,F,30,38.86,debit,138.6,-34.93
204,authorized,SALES-POS,1903.7,02-08-2018,12:26:40,F,35,32.97,debit,138.6,-34.84
205,authorized,POS,27898.89,02-08-2018,12:43:20,M,21,24.17,debit,146.9,-36.07
206,posted,INTER BANK,8189.12,02-08-2018,13:00:00,M,23,117,debit,151.2,-33.76
207,posted,PAY/SALARY,2511.5,02-08-2018,13:00:00,M,22,2218.73,credit,145,-37.88
208,posted,PAYMENT,2666.12,02-08-2018,13:00:00,M,20,15,debit,145.2,-37.86
209,authorized,SALES-POS,4158.41,02-08-2018,13:00:00,M,19,13.75,debit,115.9,-32.07
210,authorized,SALES-POS,86.96,02-08-2018,13:18:10,M,23,7.49,debit,150.9,-34.37
211,authorized,SALES-POS,92.48,02-08-2018,13:36:21,M,18,15.31,debit,153.4,-28.01
212,authorized,POS,3130,02-08-2018,13:54:32,M,22,28.51,debit,151.1,-33.8
213,posted,PAYMENT,6954.77,02-08-2018,14:00:00,M,39,60,debit,145.1,-37.84
214,posted,PAY/SALARY,1811.47,02-08-2018,14:00:00,M,30,1808.62,credit,153,-27.61
215,authorized,POS,1712.39,02-08-2018,14:10:03,M,26,30.33,debit,115.7,-31.9
216,authorized,SALES-POS,14.26,02-08-2018,14:15:58,M,31,20.07,debit,151.1,-33.99
217,authorized,POS,1948.27,02-08-2018,14:21:53,M,69,20.78,debit,144.9,-37.76
218,authorized,POS,30130.77,02-08-2018,14:27:48,M,28,32.67,debit,151.1,-33.89
219,authorized,POS,66.15,02-08-2018,14:33:43,F,27,50.93,debit,116,-32
220,authorized,SALES-POS,823.87,02-08-2018,14:45:33,F,19,18.2,debit,145.1,-37.76
221,authorized,POS,35238.13,02-08-2018,14:51:28,M,42,15.95,debit,144.9,-37.84
222,authorized,SALES-POS,1791,02-08-2018,14:57:23,F,40,25.34,debit,153.1,-27.66
223,posted,PAY/SALARY,2480.74,02-08-2018,15:00:00,M,44,596.33,credit,145.1,-37.9
224,posted,PAYMENT,1758,02-08-2018,15:00:00,F,40,33,debit,153.1,-27.66
225,posted,PAY/SALARY,6722.85,02-08-2018,15:00:00,M,26,1433.98,credit,144.8,-37.69
226,authorized,SALES-POS,332.57,02-08-2018,15:03:41,F,21,12.23,debit,145,-37.95
227,authorized,POS,1550.27,02-08-2018,15:10:15,F,41,107.67,debit,144.9,-37.79
228,authorized,SALES-POS,24268.73,02-08-2018,15:16:50,F,50,10.13,debit,144.9,-37.69
229,authorized,SALES-POS,1789.31,02-08-2018,15:23:25,M,30,22.16,debit,153,-27.61
230,authorized,SALES-POS,1014.72,02-08-2018,15:29:59,M,25,41.66,debit,115.7,-31.94
231,authorized,SALES-POS,1236.27,02-08-2018,15:36:34,F,30,8.18,debit,145,-37.85
232,authorized,SALES-POS,50637.85,02-08-2018,15:43:09,M,19,19.8,debit,115.9,-31.92
233,authorized,SALES-POS,842.78,02-08-2018,15:49:44,F,24,4.71,debit,116,-31.88
234,authorized,SALES-POS,1663.59,02-08-2018,15:56:18,M,26,48.8,debit,115.7,-31.9
235,posted,PAY/SALARY,1634.77,02-08-2018,16:00:00,F,43,1630.36,credit,142.7,-37.06
236,posted,PAY/SALARY,1361.79,02-08-2018,16:00:00,M,37,916.75,credit,149.1,-21.15
237,authorized,POS,2866.56,02-08-2018,16:07:12,M,22,263.44,debit,151.1,-33.8
238,authorized,POS,2.38,02-08-2018,16:23:36,F,18,36.17,debit,150.7,-33.64
239,authorized,POS,326.94,02-08-2018,16:39:59,F,21,5.63,debit,145,-37.95
240,authorized,POS,8144.24,02-08-2018,16:56:23,M,23,44.88,debit,151.2,-33.76
241,posted,PAYMENT,7963.24,02-08-2018,17:00:00,M,23,181,debit,151.2,-33.76
242,posted,PAYMENT,1020.55,02-08-2018,17:00:00,M,44,15,debit,144.7,-37.73
243,posted,PAY/SALARY,42790.09,02-08-2018,17:00:00,M,22,3195.01,credit,145,-37.91
244,posted,PAYMENT,263.09,02-08-2018,17:00:00,F,34,37,debit,130.9,-12.37
245,posted,PAY/SALARY,1067.25,02-08-2018,17:00:00,F,35,725.32,credit,150.6,-33.76
246,authorized,POS,661.06,02-08-2018,17:07:29,M,42,28.16,debit,150.9,-33.78
247,authorized,SALES-POS,200.94,02-08-2018,17:17:06,M,37,4.99,debit,153.3,-27.93
248,authorized,POS,636.59,02-08-2018,17:36:20,M,42,24.47,debit,150.9,-33.78
249,authorized,SALES-POS,2658.88,02-08-2018,17:45:57,M,20,7.24,debit,145.2,-37.86
250,authorized,SALES-POS,27884.42,02-08-2018,17:55:34,M,21,14.47,debit,146.9,-36.07
251,posted,PAYMENT,7922.24,02-08-2018,18:00:00,M,23,41,debit,151.2,-33.76
252,posted,PAYMENT,230.86,02-08-2018,18:00:00,M,38,49,debit,138.6,-34.86
253,posted,PAYMENT,186174.3,02-08-2018,18:00:00,F,40,21,debit,143.8,-37.66
254,posted,PAYMENT,1540.46,02-08-2018,18:00:00,F,21,135,debit,114.6,-28.8
255,authorized,SALES-POS,13583.79,02-08-2018,18:11:59,F,46,97.95,debit,151,-33.91
256,authorized,POS,11424.58,02-08-2018,18:56:26,M,24,13.93,debit,152.9,-27.49
257,posted,PAYMENT,260464.83,02-08-2018,19:00:00,M,46,50,debit,144.9,-37.9
258,authorized,SALES-POS,605.9,02-08-2018,19:07:18,M,42,30.69,debit,150.9,-33.78
259,authorized,POS,1608.28,02-08-2018,19:15:59,F,43,26.49,debit,142.7,-37.06
260,authorized,POS,50192.66,02-08-2018,19:24:41,M,38,190.5,debit,130.9,-12.49
261,authorized,SALES-POS,30102.06,02-08-2018,19:33:23,M,28,28.71,debit,151.1,-33.89
262,authorized,SALES-POS,105.89,02-08-2018,19:42:05,F,30,22.87,debit,149.8,-29.47
263,authorized,POS,5748.22,02-08-2018,19:50:46,M,38,40.31,debit,143.8,-37.66
264,authorized,SALES-POS,996.97,02-08-2018,19:59:28,F,35,70.28,debit,150.6,-33.76
265,posted,PAYMENT,979.55,02-08-2018,20:00:00,M,44,41,debit,144.7,-37.73
266,posted,PAYMENT,290.88,02-08-2018,20:00:00,M,22,195,debit,151,-33.93
267,authorized,SALES-POS,50590.99,02-08-2018,20:15:39,M,19,46.86,debit,115.9,-31.92
268,authorized,POS,485.88,02-08-2018,20:32:19,M,22,23.25,debit,151,-33.93
269,authorized,POS,11366.83,02-08-2018,20:48:59,M,24,57.75,debit,152.9,-27.49
270,posted,PAYMENT,42704.09,02-08-2018,21:00:00,M,22,86,debit,145,-37.91
271,posted,PHONE BANK,6866.65,02-08-2018,21:00:00,M,28,58,debit,147.6,-22.84
272,authorized,POS,147.58,02-08-2018,21:14:43,M,35,42.94,debit,153,-27.66
273,authorized,SALES-POS,424.01,02-08-2018,21:36:42,F,53,39.95,debit,153,-27.51
274,authorized,SALES-POS,119.37,02-08-2018,21:47:41,M,35,28.21,debit,153,-27.66
275,authorized,SALES-POS,6708.49,02-08-2018,21:58:40,M,26,14.36,debit,144.8,-37.69
276,posted,PAYMENT,2795.85,02-08-2018,22:00:00,F,25,32,debit,150.5,-23.4
277,posted,PAYMENT,5986.68,02-08-2018,22:00:00,M,35,36,debit,151.6,-32.98
278,posted,INTER BANK,1441.27,02-08-2018,22:00:00,F,41,109,debit,144.9,-37.79
279,posted,PAYMENT,1038.46,02-08-2018,22:00:00,F,19,108,debit,144.6,-37.91
280,posted,PAYMENT,45.89,02-08-2018,22:00:00,F,26,33,debit,151.2,-33.85
281,authorized,SALES-POS,6879.81,02-08-2018,22:17:15,M,39,74.96,debit,145.1,-37.84
282,authorized,SALES-POS,30056.51,02-08-2018,22:36:51,M,28,45.55,debit,151.1,-33.89
283,authorized,POS,1697.39,02-08-2018,22:56:28,F,40,60.61,debit,153.1,-27.66
284,posted,PAYMENT,4376.26,02-08-2018,23:00:00,F,39,52,debit,151,-33.8
285,posted,INTER BANK,58052.04,02-08-2018,23:00:00,M,33,59,debit,145.1,-37.7
286,authorized,POS,50459.08,02-08-2018,23:12:14,M,19,131.91,debit,115.9,-31.92
287,authorized,POS,6619.25,02-08-2018,23:27:09,M,20,11.57,debit,138.5,-35.27
288,authorized,SALES-POS,1768.68,02-08-2018,23:42:05,M,30,20.63,debit,153,-27.61
289,authorized,SALES-POS,35205.33,02-08-2018,23:57:00,M,42,32.8,debit,144.9,-37.84
